"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"211","MNL","TAG","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","9.665442000","123.853533000","1737091.58","45717","5"
"220","HKG","MNL","3","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1735964.2","13901","5"
"126","MNL","CGK","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","-6.125569820","106.655998200","1723632.5","9100","5"
"126","CGK","MNL","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","-6.125569820","106.655998200","14.508600000","121.019997000","1715746","9061","5"
"001","MCO","LAX","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","28.429399490","-81.308998110","33.942501070","-118.407997100","1679249.97","6007","5"
"838","YEG","YVR","1","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","53.309700010","-113.580001800","49.193901060","-123.183998100","1664895.04","13875","5"
"211","MNL","DGT","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","9.333709717","123.300003100","1632936.53","46921","5"
"738","MNL","SGN","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","10.818799970","106.652000400","1623803.22","11722","5"
"114","HKG","MNL","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1608164.79","11551","5"
"072","BAH","RUH","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","26.270799640","50.633598330","24.957599640","46.698799130","1586519.96","2888","5"
"001","LAX","LAS","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","36.080101010","-115.152000400","1578778.58","22084","5"
"074","HKG","MNL","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1565109.16","15128","5"
"157","MNL","HKG","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","1556640","12998","5"
"157","DOH","MNL","24","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.273056000","51.608056000","14.508600000","121.019997000","1544984.79","5490","5"
"603","MNL","BKK","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","1532208.75","9932","5"
"006","CEB","NGO","22","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.307499890","123.978996300","34.858398440","136.804992700","1494859.27","2750","5"
"589","MNL","BKK","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","1491032.5","10045","5"
"220","MNL","HKG","3","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","1490654.5","12237","5"
"235","IST","MNL","9","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","41.275278000","28.751944000","14.508600000","121.019997000","1470720.89","3231","5"
"211","BXU","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","8.951500000","125.478800000","14.508600000","121.019997000","1467814.74","30602","5"
"001","LAX","MCO","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","28.429399490","-81.308998110","1466302.77","6139","5"
"211","MNL","WNP","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.584899900","123.269996600","1465607.08","36463","5"
"074","MNL","HKG","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","1455385.55","14463","5"
"001","LAS","LAX","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","36.080101010","-115.152000400","33.942501070","-118.407997100","1420516.94","19985","5"
"157","MNL","DOH","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.273056000","51.608056000","1394595.22","2853","5"
"205","MNL","HND","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.552299000","139.779999000","1385999.9","3439","5"
"211","WNP","MNL","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.584899900","123.269996600","14.508600000","121.019997000","1374994.42","35899","5"
"205","MNL","HND","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.552299000","139.779999000","1361535.53","3353","5"
"589","MNL","BKK","4","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","1359740","11239","5"
"211","LGP","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.157500000","123.735000000","14.508600000","121.019997000","1353367.88","41467","5"
"157","DOH","DMM","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.273056000","51.608056000","26.471200940","49.797901150","1339025.37","1171","5"
"157","MNL","DOH","24","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.273056000","51.608056000","1338934.89","5174","5"
"211","MNL","BXU","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","8.951500000","125.478800000","1327210.64","29402","5"
"838","YWG","YVR","1","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.909999850","-97.239898680","49.193901060","-123.183998100","1320825.74","7743","5"
"001","SFO","DFW","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","37.618999480","-122.375000000","32.896801000","-97.038002000","1314111.08","7935","5"
"211","DGT","MNL","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","9.333709717","123.300003100","14.508600000","121.019997000","1302867.71","36033","5"
"851","MNL","HKG","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","1301550","11470","5"
"211","CBO","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","7.165239811","124.209999100","14.508600000","121.019997000","1301328.8","20403","5"
"072","MNL","BAH","33","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","26.270799640","50.633598330","1298057.08","504","5"
"607","MNL","BKK","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","1284551.64","10366","5"
"006","CEB","NRT","22","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.307499890","123.978996300","35.764701840","140.386001600","1279923","4154","5"
"001","DFW","SFO","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","32.896801000","-97.038002000","37.618999480","-122.375000000","1277761.93","7538","5"
"114","MNL","BKK","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","1275427.5","8856","5"
"001","MSY","LAX","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","29.993400570","-90.258003230","33.942501070","-118.407997100","1272305.7","6157","5"
"211","MNL","LGP","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.157500000","123.735000000","1269542.88","40417","5"
"176","MNL","DXB","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.252799990","55.364398960","1262762.52","3769","5"
"232","MNL","KUL","30","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","2.745579958","101.709999100","1260112.95","5573","5"
"205","HND","MNL","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","35.552299000","139.779999000","14.508600000","121.019997000","1252180.05","3083","5"
"125","HKG","MNL","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1243240.9","10475","5"
"738","SGN","MNL","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.818799970","106.652000400","14.508600000","121.019997000","1210303.36","8227","5"
"211","MNL","DGT","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","9.333709717","123.300003100","1157358.49","33331","5"
"157","MNL","DOH","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.273056000","51.608056000","1140387.99","4756","5"
"157","HKG","MNL","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1136308.2","9186","5"
"211","MPH","MNL","43","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","11.924500000","121.954002000","14.508600000","121.019997000","1133755.73","11573","5"
"838","YVR","YYC","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","51.113899230","-114.019996600","1129158.84","13198","5"
"114","BKK","MNL","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.681099890","100.747001600","14.508600000","121.019997000","1119475","7660","5"
"001","MCO","LAX","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","28.429399490","-81.308998110","33.942501070","-118.407997100","1115817.85","4778","5"
"738","MNL","SGN","20","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","10.818799970","106.652000400","1103560.37","7454","5"
"731","MNL","XMN","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","24.544000630","118.127998400","1090463.33","3744","5"
"072","MNL","BAH","25","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","26.270799640","50.633598330","1072933.88","2374","5"
"211","RXS","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","11.597700120","122.751998900","14.508600000","121.019997000","1056855.89","40216","5"
"211","MNL","MPH","43","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","11.924500000","121.954002000","1047932.8","11921","5"
"851","HKG","MNL","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","1032895","9091","5"
"001","SFO","MIA","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","37.618999480","-122.375000000","25.793199540","-80.290603640","1023432.8","4781","5"
"001","IAH","LAX","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","29.984399800","-95.341400150","33.942501070","-118.407997100","1013943.64","5333","5"
"232","KUL","MNL","33","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","2.745579958","101.709999100","14.508600000","121.019997000","984957.69","5856","5"
"072","BAH","MNL","12","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","26.270799640","50.633598330","14.508600000","121.019997000","968201.34","1661","5"
"125","MNL","HKG","4","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","960585","9455","5"
"838","YVR","YWG","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","49.909999850","-97.239898680","952054.7","8266","5"
"838","YVR","YYC","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","51.113899230","-114.019996600","946938.1","14672","5"
"607","MNL","AUH","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","24.433000560","54.651100160","933510","1933","5"
"173","HNL","OGG","52","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","21.320620000","-157.924228000","20.898600000","-156.429993000","931593.3","9305","5"
"211","MNL","CBO","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","7.165239811","124.209999100","930680.9","17842","5"
"001","LAX","IAH","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","29.984399800","-95.341400150","916765.8","4493","5"
"220","MNL","SIN","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","1.350190000","103.994003000","911055","6206","5"
"114","HKG","MNL","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","908815","7727","5"
"232","KUL","MNL","30","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","2.745579958","101.709999100","14.508600000","121.019997000","908370.12","4557","5"
"001","DFW","SFO","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","32.896801000","-97.038002000","37.618999480","-122.375000000","906432.84","5009","5"
"072","MNL","BAH","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","26.270799640","50.633598330","903231.8","810","5"
"211","CEB","MNL","45","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.307499890","123.978996300","14.508600000","121.019997000","887821.95","25066","5"
"211","USU","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","12.121500020","120.099998500","14.508600000","121.019997000","887773.8","17488","5"
"211","MNL","WNP","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.584899900","123.269996600","885665.86","19528","5"
"589","BKK","MNL","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.681099890","100.747001600","14.508600000","121.019997000","884473.5","6038","5"
"738","SGN","MNL","20","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.818799970","106.652000400","14.508600000","121.019997000","872425.39","5795","5"
"838","YVR","YWG","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","49.909999850","-97.239898680","865658.19","6730","5"
"211","WNP","MNL","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.584899900","123.269996600","14.508600000","121.019997000","863098.94","18701","5"
"838","YYC","YVR","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","51.113899230","-114.019996600","49.193901060","-123.183998100","861702.91","11634","5"
"589","HKG","MNL","9","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","861326.45","6657","5"
"512","MNL","BKK","8","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","847317.5","5566","5"
"232","MNL","KUL","33","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","2.745579958","101.709999100","841090.68","4927","5"
"114","MNL","HKG","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","838767.5","7094","5"
"211","WNP","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.584899900","123.269996600","14.508600000","121.019997000","837118.1","18557","5"
"211","MNL","RXS","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","11.597700120","122.751998900","836210.14","33920","5"
"114","HKG","MNL","19","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","826350","7046","5"
"157","DOH","AUH","22","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.273056000","51.608056000","24.433000560","54.651100160","822686.16","1226","5"
"176","DXB","MNL","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.252799990","55.364398960","14.508600000","121.019997000","819079.7","1732","5"
"211","DPL","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","8.601983499","123.341875100","14.508600000","121.019997000","818071.11","18231","5"
"838","YYC","YVR","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","51.113899230","-114.019996600","49.193901060","-123.183998100","812201.34","12249","5"
"211","LAO","MNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","18.178100590","120.531997700","14.508600000","121.019997000","812117.22","23434","5"
"232","KUL","MNL","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","2.745579958","101.709999100","14.508600000","121.019997000","810578.23","6090","5"
"211","MNL","SUG","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","9.755838326","125.480947500","808960.15","10494","5"
"173","OGG","HNL","52","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","20.898600000","-156.429993000","21.320620000","-157.924228000","807796.1","8669","5"
"603","MNL","SIN","2","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","1.350190000","103.994003000","801078.75","5171","5"
"125","HKG","MNL","4","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","800303","7529","5"
"838","YWG","YVR","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.909999850","-97.239898680","49.193901060","-123.183998100","800053.59","7145","5"
"589","MNL","BKK","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","798913","5382","5"
"211","MNL","WNP","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.584899900","123.269996600","794186.49","18926","5"
"211","MNL","CEB","45","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","10.307499890","123.978996300","791479.5","23289","5"
"016","MNL","NRT","3","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.764701840","140.386001600","784567.5","2793","5"
"016","HKG","MNL","2","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","782159.84","5409","5"
"211","MNL","USU","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","12.121500020","120.099998500","777475.07","16638","5"
"603","MNL","BKK","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","13.681099890","100.747001600","771241.25","4976","5"
"141","DXB","JED","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.252799990","55.364398960","21.679600000","39.156502000","765990","5935","5"
"838","YYC","YVR","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","51.113899230","-114.019996600","49.193901060","-123.183998100","765653.5","10343","5"
"157","DOH","FCO","24","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.273056000","51.608056000","41.800277800","12.238888900","761643.21","3574","5"
"211","MNL","DPL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","8.601983499","123.341875100","758733.27","18065","5"
"205","NRT","MNL","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","35.764701840","140.386001600","14.508600000","121.019997000","750505.7","1687","5"
"589","MNL","HKG","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","750128.75","6542","5"
"297","TPE","MNL","21","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.077700000","121.233002000","14.508600000","121.019997000","749707.51","4798","5"
"176","MNL","DXB","38","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.252799990","55.364398960","745156.04","1451","5"
"607","AUH","MNL","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","24.433000560","54.651100160","14.508600000","121.019997000","742177.83","507","5"
"724","HKG","MNL","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","739099","6517","5"
"211","MNL","LAO","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","18.178100590","120.531997700","729489.9","22615","5"
"001","MNL","NRT","25","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.764701840","140.386001600","729169.75","4221","5"
"016","NRT","CEB","1","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","35.764701840","140.386001600","10.307499890","123.978996300","728782.18","1824","5"
"105","HKG","MNL","3","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","727068.2","7972","5"
"297","MNL","TPE","21","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","25.077700000","121.233002000","724356.06","4405","5"
"114","MNL","HKG","16","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","717850.84","5588","5"
"001","SAN","LAX","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","32.733600620","-117.190002400","33.942501070","-118.407997100","716358","7677","5"
"157","DOH","MNL","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","25.273056000","51.608056000","14.508600000","121.019997000","714621.04","4199","5"
"114","BKK","MNL","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.681099890","100.747001600","14.508600000","121.019997000","713125","4673","5"
"016","MNL","NRT","1","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.764701840","140.386001600","711671.68","2027","5"
"235","MNL","IST","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","41.275278000","28.751944000","711596.89","1280","5"
"205","HND","MNL","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","35.552299000","139.779999000","14.508600000","121.019997000","709879.11","1760","5"
"001","LAX","SAN","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","32.733600620","-117.190002400","708994.56","7745","5"
"001","SFO","MNL","24","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","37.618999480","-122.375000000","14.508600000","121.019997000","705535.78","943","5"
"173","HNL","OGG","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","21.320620000","-157.924228000","20.898600000","-156.429993000","703593.92","8284","5"
"232","MNL","KUL","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","2.745579958","101.709999100","699004.98","1439","5"
"131","MNL","CEB","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","10.307499890","123.978996300","697728.47","11974","5"
"001","DFW","MCO","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","32.896801000","-97.038002000","28.429399490","-81.308998110","695143.12","5607","5"
"114","HKG","MNL","16","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","693545.96","5284","5"
"211","MPH","MNL","44","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","11.924500000","121.954002000","14.508600000","121.019997000","692223.28","12116","5"
"838","YVR","YYC","14","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","51.113899230","-114.019996600","690526.13","8889","5"
"603","SIN","MNL","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","1.350190000","103.994003000","14.508600000","121.019997000","685757.5","4525","5"
"211","SUG","MNL","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","9.755838326","125.480947500","14.508600000","121.019997000","685168.21","8824","5"
"211","TUG","MNL","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","17.643367680","121.733150500","14.508600000","121.019997000","685037.56","12910","5"
"607","MAN","AUH","31","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","53.353698730","-2.274950027","24.433000560","54.651100160","671365","2323","5"
"016","HKG","MNL","1","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","669512.04","4161","5"
"131","CEB","MNL","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.307499890","123.978996300","14.508600000","121.019997000","668171.41","11459","5"
"220","MNL","HKG","5","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","22.308901000","113.915001000","661534.5","5819","5"
"211","MNL","LAO","44","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","18.178100590","120.531997700","658607.09","13587","5"
"001","SFO","ORD","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","37.618999480","-122.375000000","41.978600000","-87.904800000","656967.87","3841","5"
"001","LAX","DFW","7","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","32.896801000","-97.038002000","654923.99","5634","5"
"173","OGG","HNL","15","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","20.898600000","-156.429993000","21.320620000","-157.924228000","653559.6","6427","5"
"074","MNL","SIN","11","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","1.350190000","103.994003000","650959.78","3734","5"
"589","HKG","MNL","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.308901000","113.915001000","14.508600000","121.019997000","643326","5444","5"
"838","YVR","YEG","10","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","49.193901060","-123.183998100","53.309700010","-113.580001800","641710.09","6957","5"
"001","LAX","ORD","18","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","33.942501070","-118.407997100","41.978600000","-87.904800000","639120.53","3477","5"
"211","DVO","CEB","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","7.125520229","125.646003700","10.307499890","123.978996300","635480.77","21825","5"
"211","MNL","TUG","26","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","17.643367680","121.733150500","631964.63","12648","5"
"675","MFM","MNL","24","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","22.149599000","113.592003000","14.508600000","121.019997000","631045.4","6864","5"
"211","MNL","CGY","43","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","8.612203000","124.456496000","629898.08","15378","5"
"173","OGG","HNL","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","20.898600000","-156.429993000","21.320620000","-157.924228000","629136.1","7482","5"
"211","CEB","DVO","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","10.307499890","123.978996300","7.125520229","125.646003700","624912","21009","5"
"016","MNL","NRT","4","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","35.764701840","140.386001600","624208.5","2161","5"
"589","BKK","MNL","6","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","13.681099890","100.747001600","14.508600000","121.019997000","620571.25","4282","5"
"211","MNL","SUG","42","Q","E","Q","A","U","A","Q","A","Q","E","U","E","I","U","I","14.508600000","121.019997000","9.755838326","125.480947500","620427.29","8930","5"
